PERIODO;ETAPA;CURSO;TURNO;Nº EXP;NOTA1;NOTA2;NOTA3;NOTA4;NOTA5;NOTA6;MEDIA;APROBADO;FALTAS ACUMULADAS;SEXO;EDAD;LOCALIDAD;Nacionalidad
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-20-DAM-2013;8,5;7,5;5,0;6,5;7,0;9,0;7,3;SI;7;H;22;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-21-DAM-2013;5,5;7,5;6,0;6,0;6,5;7,0;6,4;SI;60;H;28;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-22-DAM-2013;6,0;7,5;5,0;5,0;4,5;5,5;5,6;SI;18;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-23-DAM-2013;9,5;7,5;8,5;7,5;9,5;7,0;8,3;SI;8;H;23;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-24-DAM-2013;5,0;6,0;7,5;4,5;2,5;5,5;5,2;SI;36;H;22;ARROYOMOLINOS;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-25-DAM-2013;8,0;8,5;8,0;6,5;7,5;8,5;7,8;SI;14;H;26;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-26-DAM-2013;7,0;8,0;8,5;6,5;6,5;8,0;7,4;SI;3;H;21;MADRID;COLOMBIANA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-27-DAM-2013;6,0;8,0;7,5;9,0;7,0;9,0;7,8;SI;71;H;21;GUADALAJARA;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-28-DAM-2013;8,0;8,5;8,5;8,0;7,5;7,0;7,9;SI;4;H;32;LEGANES;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-29-DAM-2013;10,0;9,0;9,0;9,0;9,5;10,0;9,4;SI;0;H;30;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;DAM2;VESPERTINO;A1-13-DAM-2013;1,0;7,0;6,5;4,0;1,5;4,0;4,0;NO;74;H;21;RIVAS-VACIAMADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-19-SMR-2014;5,5;5,0;6,0;5,5;5,0;5,5;5,4;SI;54;H;21;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-07-SMR-2014;0,0;0,0;0,0;0,0;0,0;6,0;1,0;NO;215;H;24;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-03-SMR-2014;8,0;6,0;6,5;5,5;7,0;5,5;6,4;SI;91;H;20;ALCALÁ DE HENARES;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-17-SMR-2014;4,5;5,0;5,0;4,5;4,0;5,5;4,8;NO;196;H;20;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-09-SMR-2014;4,5;5,0;4,6;5,0;4,0;4,5;4,6;NO;169;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-01-SMR-2014;4,5;5,0;5,0;4,5;4,0;6,5;4,9;NO;9;H;19;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-18-SMR-2014;7,0;5,5;6,5;6,5;6,8;8,0;6,7;SI;188;H;19;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-15-SMR-2014;7,5;6,0;7,0;6,0;7,2;6,5;6,7;SI;254;H;19;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-20-SMR-2014;7,5;5,5;5,0;5,0;5,8;5,5;5,7;SI;60;H;22;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-02-SMR-2014;5,5;5,5;4,5;4,5;4,6;7,0;5,3;SI;176;H;28;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-31-SMR-2014;4,0;4,5;5,0;3,0;2,5;9,5;4,7;NO;202;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-30-SMR-2014;8,0;6,5;6,5;6,0;6,7;4,0;6,3;SI;47;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-05-SMR-2014;9,0;8,0;6,5;7,0;7,6;5,5;7,3;SI;6;H;18;ALCOBENDAS;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-25-SMR-2014;9,0;6,5;8,5;8,0;9,0;6,5;7,9;SI;30;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-11-SMR-2014;8,0;5,5;8,0;7,5;7,5;5,0;6,9;SI;52;H;21;MADRID;BOLIVIANA
2014-2015;INFORMATICA;SMR1;DIURNO;AI-27-SMR-2014;7,0;7,0;7,0;4,5;5,5;6,0;6,2;SI;11;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-21-SMR-2014;8,5;9,5;7,5;8,0;8,5;6,5;8,1;SI;24;H;24;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-24-SMR-2014;4,0;4,0;5,0;3,0;4,0;7,5;4,6;NO;304;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-29-SMR-2014;6,5;5,5;5,0;4,0;4,5;5,0;5,1;SI;166;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-06-SMR-2014;8,0;6,5;7,5;7,0;7,0;4,5;6,8;SI;44;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-13-SMR-2014;7,0;5,0;7,0;7,0;5,5;5,0;6,1;SI;24;H;19;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-10-SMR-2014;7,5;6,0;6,5;7,0;8,0;6,5;6,9;SI;0;H;22;ALCALÁ DE HENARES;RUSA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-12-SMR-2014;6,5;6,5;6,0;5,0;4,0;6,5;5,8;SI;35;H;28;GALAPAGAR;ECUATORIANA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-16-SMR-2014;7,5;7,5;6,0;5,5;6,0;8,5;6,8;SI;161;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR1;DIURNO;A1-28-SMR-2014;0,0;0,0;0,0;0,0;0,0;8,0;1,3;NO;112;H;23;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-01-SMR-2013;7,5;6,5;6,5;8,5;7,5;7,0;7,3;SI;27;H;22;RIVAS-VACIAMADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-02-SMR-2013;7,0;6,5;7,0;8,0;6,5;7,5;7,1;SI;50;H;26;MADRID;PERUANA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-03-SMR-2013;8,0;5,5;7,5;8,0;7,0;5,0;6,8;SI;35;H;21;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-04-SMR-2013;6,5;6,0;5,0;8,5;7,0;5,0;6,3;SI;21;H;21;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-05-SMR-2013;6,0;6,0;7,0;7,5;6,5;7,5;6,8;SI;27;H;32;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-06-SMR-2013;6,5;6,0;7,0;8,0;7,0;7,0;6,9;SI;57;H;30;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-08-SMR-2013;6,5;6,5;5,0;8,5;7,0;6,5;6,7;SI;36;H;21;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-09-SMR-2013;9,5;7,5;5,5;8,5;8,0;6,0;7,5;SI;0;H;21;VILLAVICIOSA DE ODON;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-08-SMR-2012;0,0;0,0;0,0;0,0;5,0;5,0;1,7;NO;66;H;24;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-11-SMR-2013;8,5;7,0;7,5;9,0;10,0;8,5;8,4;SI;0;H;20;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-12-SMR-2013;9,0;5,5;5,5;7,5;7,5;8,0;7,2;SI;6;H;20;MADRID;MARROQUI
2014-2015;INFORMATICA;SMR2;DIURNO;A1-13-SMR-2013;7,0;7,0;8,5;8,5;6,5;8,0;7,6;SI;7;H;18;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-14-SMR-2013;6,0;6,5;5,0;8,0;6,5;6,5;6,4;SI;0;H;19;SAN SEBASTIAN DE LOS REYES;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-15-SMR-2013;5,5;5,0;4,5;7,0;5,5;5,0;5,4;SI;24;H;19;MADRID;PERUANA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-16-SMR-2013;6,0;6,5;5,0;8,5;7,0;6,0;6,5;SI;12;H;18;GALAPAGAR;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-17-SMR-2013;7,5;7,0;6,0;8,5;7,0;8,0;7,3;SI;7;H;18;POZUELO DE ALARCON;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-18-SMR-2013;6,5;5,5;5,0;8,0;6,5;6,0;6,3;SI;18;H;18;COSLADA;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-19-SMR-2013;7,0;6,5;4,5;8,5;6,5;6,0;6,5;SI;6;H;19;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-20-SMR-2013;7,0;7,0;4,0;7,5;7,5;6,5;6,6;SI;72;H;20;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-21-SMR-2013;9,5;7,5;6,5;9,5;7,5;8,5;8,2;SI;33;H;20;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-22-SMR-2013;7,5;7,0;5,0;7,5;7,5;8,0;7,1;SI;6;H;20;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-23-SMR-2013;4,5;5,0;6,5;6,5;5,0;5,5;5,5;SI;148;H;18;MADRID;CHINA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-24-SMR-2013;6,5;7,5;5,5;7,0;6,5;6,0;6,5;SI;31;H;21;MADRID;ESPAÑOLA
2014-2015;INFORMATICA;SMR2;DIURNO;A1-26-SMR-2013;7,0;6,0;6,5;7,5;6,5;7,0;6,8;SI;49;H;28;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-01-ASI-2015;8,0;5,0;1,0;3,0;1,0;2,0;3,3;NO;102;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-02-ASI-2015;9,0;6,0;5,0;6,0;5,0;8,0;6,5;SI;60;H;19;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-03-ASI-2015;5,0;9,0;6,0;9,0;8,0;9,0;7,7;SI;49;H;18;MADRID;PERUANA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-04-ASI-2015;5,0;4,0;6,0;6,0;6,0;4,0;5,2;SI;45;H;18;RIVAS-VACIAMADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-05-ASI-2015;8,0;8,0;5,0;8,0;7,0;8,0;7,3;SI;22;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-06-ASI-2015;0,0;0,0;0,0;0,0;0,0;0,0;0,0;NO;66;H;21;SAN FERNANDO DE HENARES;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-07-ASI-2015;5,0;5,0;6,0;7,0;7,0;5,0;5,8;SI;11;H;21;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-08-ASI-2015;8,0;8,0;7,0;3,0;6,0;2,0;5,7;SI;26;H;32;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-09-ASI-2015;9,0;8,0;7,0;6,0;9,0;8,0;7,8;SI;40;H;30;ALCOBENDAS;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-10-ASI-2015;8,0;8,0;6,0;9,0;4,0;9,0;7,3;SI;0;H;21;ARROYOMOLINOS;CUBANA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-11-ASI-2015;9,0;8,0;5,0;3,0;5,0;8,0;6,3;SI;48;H;21;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-12-ASI-2015;8,0;8,0;5,0;6,0;8,0;6,0;6,8;SI;0;H;24;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-13-ASI-2015;9,0;6,0;5,0;9,0;6,0;9,0;7,3;SI;18;H;20;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-14-ASI-2015;7,0;9,0;7,0;9,0;9,0;9,0;8,3;SI;70;H;20;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-15-ASI-2015;7,0;5,0;3,0;3,0;9,0;8,0;5,8;SI;66;H;18;MADRID;PERUANA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-16-ASI-2015;6,0;6,0;2,0;6,0;4,0;6,0;5,0;SI;32;H;19;SAN JUAN;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-17-ASI-2015;6,0;9,0;3,0;9,0;5,0;9,0;6,8;SI;38;H;19;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-18-ASI-2015;8,0;9,0;7,0;9,0;8,0;6,0;7,8;SI;88;H;19;PINTO;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-19-ASI-2015;9,0;5,0;2,0;5,0;4,0;9,0;5,7;SI;117;H;18;GETAFE;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-20-ASI-2015;7,0;6,0;3,0;6,0;5,0;6,0;5,5;SI;153;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-21-ASI-2015;7,0;9,0;7,0;9,0;6,0;9,0;7,8;SI;90;H;18;ALCALÁ DE HENARES;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-22-ASI-2015;6,0;7,0;3,0;6,0;6,0;6,0;5,7;SI;75;H;19;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR1;DIURNO;A1-23-ASI-2015;6,0;7,0;7,0;9,0;6,0;9,0;7,3;SI;30;H;22;CABANILLAS DEL CAMPO;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-01-ASI-2014;5,0;8,0;9,0;9,0;10,0;10,0;8,5;SI;0;H;28;COSLADA;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-02-ASI-2014;5,0;7,0;7,0;8,0;8,0;6,0;6,8;SI;13;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-15-SMR-2012;5,0;5,0;5,0;6,0;7,0;7,0;5,8;SI;4;H;23;TORREJON DE ARDOZ;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-06-SMR-2012;5,0;7,0;5,0;7,0;6,0;7,0;6,2;SI;15;H;19;LEGANES;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-07-SMR-2012;5,0;7,0;5,0;8,0;10,0;7,0;7,0;SI;13;H;22;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-03-ASI-2014;5,0;7,0;8,0;7,0;8,0;8,0;7,2;SI;41;H;28;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-16-SMR-2012;5,0;8,0;9,0;8,0;10,0;8,0;8,0;SI;10;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-04-ASI-2014;5,0;7,0;6,0;7,0;8,0;6,0;6,5;SI;50;H;23;CIEMPOZUELOS;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-05-ASI-2014;5,0;9,0;8,0;8,0;7,0;8,0;7,5;SI;33;H;22;GETAFE;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-06-ASI-2014;5,0;7,0;10,0;9,0;8,0;8,0;7,8;SI;39;H;26;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-07-ASI-2014;5,0;8,0;9,0;8,0;8,0;9,0;7,8;SI;15;H;21;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-08-ASI-2014;8,0;9,0;8,0;9,0;9,0;8,0;8,5;SI;25;H;21;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-09-ASI-2014;5,0;7,0;5,0;7,0;7,0;6,0;6,2;SI;4;H;32;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-10-ASI-2014;6,0;8,0;6,0;8,0;7,0;6,0;6,8;SI;10;H;30;ARGANDA DEL REY;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-11-ASI-2014;5,0;7,0;8,0;6,0;8,0;5,0;6,5;SI;86;H;21;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-12-ASI-2014;5,0;7,0;7,0;7,0;7,0;5,0;6,3;SI;6;H;21;TORREJON DE ARDOZ;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-13-ASI-2014;5,0;8,0;5,0;8,0;10,0;8,0;7,3;SI;17;H;24;GETAFE;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-14-ASI-2014;2,0;2,0;7,0;1,0;8,0;3,0;3,8;NO;153;H;20;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-15-ASI-2014;6,0;8,0;9,0;5,0;6,0;8,0;7,0;SI;103;H;20;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-16-ASI-2014;8,0;10,0;9,0;8,0;7,0;9,0;8,5;SI;102;H;18;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-17-ASI-2014;6,0;7,0;9,0;9,0;9,0;9,0;8,2;SI;2;H;19;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-18-ASI-2014;10,0;10,0;9,0;9,0;9,0;10,0;9,5;SI;0;M;19;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-19-ASI-2014;6,0;8,0;9,0;6,0;7,0;7,0;7,2;SI;122;H;26;MADRID;ESPAÑOLA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-20-ASI-2014;5,0;6,0;8,0;5,0;8,0;5,0;6,2;SI;77;H;18;MADRID;RUMANA
2015-2016;INFORMATICA;ASIR2;DIURNO;A1-21-ASI-2014;5,0;6,0;5,0;5,0;5,0;5,0;5,2;SI;127;H;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-01-AYF-2015;6,0;9,0;9,0;9,0;8,8;8,3;8,3;SI;0;M;21;LEGANES;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-02-AYF-2015;8,2;7,3;9,5;9,5;6,0;9,0;8,2;SI;0;M;18;MADRID;CHINA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-03-AYF-2015;5,0;8,0;8,0;9,0;9,0;9,0;8,0;SI;0;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-04-AYF-2015;6,0;5,0;3,0;9,0;9,0;9,0;6,8;SI;48;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-05-AYF-2015;6,0;5,0;3,0;6,0;9,0;9,0;6,3;SI;0;M;18;AREVALO;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-06-AYF-2015;7,0;8,0;3,0;5,0;8,0;9,0;6,7;SI;18;M;21;CIEMPOZUELOS;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-07-AYF-2015;9,0;8,0;5,0;9,0;9,0;9,0;8,2;SI;70;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-08-AYF-2015;8,0;6,0;5,0;3,0;8,3;7,3;6,3;SI;66;M;24;SEVILLA LA NUEVA;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-09-AYF-2015;9,0;9,0;7,8;9,0;8,3;7,3;8,4;SI;32;M;18;VALDEMORO;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-10-AYF-2015;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;38;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-11-AYF-2015;9,0;9,0;5,0;9,0;5,0;9,0;7,7;SI;88;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-12-AYF-2015;10,0;9,0;9,0;10,0;9,0;10,0;9,5;SI;117;M;19;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-13-AYF-2015;10,0;9,0;10,0;10,0;9,0;10,0;9,7;SI;153;M;22;LAS ROZAS;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-14-AYF-2015;10,0;8,0;9,0;9,0;9,0;9,0;9,0;SI;90;H;28;FUENLABRADA;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-15-AYF-2015;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;75;M;18;ARANJUEZ;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-16-AYF-2015;9,0;9,0;5,0;9,0;5,0;9,0;7,7;SI;30;H;18;Boadilla del Monte;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-17-AYF-2015;10,0;9,0;9,0;10,0;9,0;10,0;9,5;SI;23;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-18-AYF-2015;10,0;9,0;10,0;10,0;9,0;10,0;9,7;SI;44;M;18;;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-19-AYF-2015;10,0;8,0;9,0;9,0;9,0;9,0;9,0;SI;70;H;21;GETAFE;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-20-AYF-2015;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;12;M;18;ALCALÁ DE HENARES;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-21-AYF-2015;10,0;9,0;9,0;8,0;9,0;9,0;9,0;SI;18;M;24;VALDEMORO;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-22-AYF-2015;8,0;9,0;9,0;6,0;9,0;9,0;8,3;SI;4;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-23-AYF-2015;5,0;10,0;9,0;5,0;8,3;6,0;7,2;SI;6;H;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-24-AYF-2015;7,0;10,0;9,0;8,7;8,3;7,3;8,4;SI;6;M;18;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-25-AYF-2015;6,0;10,0;9,0;10,0;7,3;7,3;8,3;SI;32;M;19;ALCALÁ DE HENARES;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-27-AYF-2015;6,0;10,0;9,0;8,7;8,3;7,3;8,2;SI;36;H;22;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-28-AYF-2015;6,0;10,0;9,0;10,0;7,3;7,3;8,3;SI;10;M;28;BAÑOS DE MONTEMAYOR;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-26-AYF-2015;5,0;6,0;9,0;8,7;5,0;7,3;6,8;SI;10;M;18;SEVILLA LA NUEVA;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-29-AYF-2015;10,0;9,0;9,0;8,7;8,3;7,3;8,7;SI;3;M;23;ALPEDRETE;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF1;VESPERTINO;A1-30-AYF-2015;10,0;9,0;9,0;10,0;9,0;9,0;9,3;SI;2;M;22;ROBLEDO DE CHAVELA;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-01-AYF-2014;6,0;9,0;9,0;9,0;8,8;8,3;8,3;SI;2;M;26;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-02-AYF-2014;8,2;7,3;9,5;9,5;9,0;9,0;8,7;SI;14;M;21;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-03-AYF-2014;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;32;M;21;CIEMPOZUELOS;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-04-AYF-2014;6,0;5,0;3,0;9,0;9,0;9,0;6,8;SI;22;M;32;MAJADAHONDA;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-05-AYF-2014;6,0;5,0;3,0;9,0;9,0;9,0;6,8;SI;22;M;30;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-06-AYF-2014;7,0;8,0;3,0;9,0;8,0;9,0;7,3;SI;4;M;21;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-07-AYF-2014;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;13;M;21;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-08-AYF-2014;8,0;6,0;5,0;3,0;8,3;7,3;6,3;SI;22;M;24;MAJADAHONDA;BOLIVIANA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-09-AYF-2014;9,0;9,0;7,8;9,0;8,3;7,3;8,4;SI;3;M;20;MADRID;ESPAÑOLA
2015-2016;ADMINISTRACIÓN ;AYF2;VESPERTINO;A1-10-AYF-2014;9,0;8,0;8,0;9,0;9,0;9,0;8,7;SI;6;M;20;COSLADA;ESPAÑOLA
